id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
229427880,Футболка аниме y2k ретро,1840,855,,53,мота,5,МОТА,4.9,149,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/229427880/detail.aspx?targetUrl=BP
166853407,Футболка Герб России,1688,849,,49,Evofox,5,Brand Seven,4.8,4694,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/166853407/detail.aspx?targetUrl=BP
202960183,Футболка оверсайз y2k с принтом винтаж,929,863,,7,Shadow by WD,5,World Design,4.6,2440,4.6,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/202960183/detail.aspx?targetUrl=BP
137733148,Футболка Rammstein Рамштайн,1400,518,,63,DREAMS FAMILY BRAND,5,DREAMS FAMILY BRAND,4.8,829,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/137733148/detail.aspx?targetUrl=BP
208854982,Футболка мужская оверсайз варенка,5000,814,,83,LUCK YOU,5,GIOVANNI FERRINI,4.6,75,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/208854982/detail.aspx?targetUrl=BP
78149137,Футболка оверсайз хлопок,2500,1604,,35,Tim jeans,5,TIM JEANS,4.8,17522,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/78149137/detail.aspx?targetUrl=BP
171373580,Футболка хлопковая с принтом,1323,440,,66,Forall Textile,5,Forall Textile,4.8,2878,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/171373580/detail.aspx?targetUrl=BP
245520662,Футболка подарочная с надписью черная,1200,541,,54,Neon wear,5,Neon W,4.8,1659,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/245520662/detail.aspx?targetUrl=BP
192872901,Футболка базовая однотонная хлопок,10720,396,,96,Creative Cotton,5,DELICATUS,4.7,2338,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/192872901/detail.aspx?targetUrl=BP
229270817,Футболка тактическая олива,2500,1110,,55,,5,TuristPro,4.6,887,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/229270817/detail.aspx?targetUrl=BP
176566590,Футболка мужская охота на слона серая серия BIG FIVE хлопок,2290,576,,74,Макс-Экстрим,5,Макс Экстрим,4.8,4512,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/176566590/detail.aspx?targetUrl=BP
255355950,Футболка с принтом новогодняя дед мороз,1746,646,,63,MONTES,5,Montes,4.9,6445,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/255355950/detail.aspx?targetUrl=BP
196598703,Футболка базовая однотонная хлопок,5040,372,,92,Сальвадор37,5,Сальвадор37,4.8,2266,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/196598703/detail.aspx?targetUrl=BP
111794292,Военный тактический милитари свитшот,1500,767,,48,ЛИМЕС,5,ЛИМЕС,4.7,3320,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/111794292/detail.aspx?targetUrl=BP
63203369,Футболка Король и Шут,1400,518,,63,DREAMS FAMILY BRAND,5,DREAMS FAMILY BRAND,4.8,2782,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/63203369/detail.aspx?targetUrl=BP
233759291,Футболка с принтом хлопковая,1323,479,,63,Forall Textile,5,Forall Textile,4.8,2878,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/233759291/detail.aspx?targetUrl=BP
54657955,Футболка Волк оборотень хаки с принтом,2590,689,,73,Макс-Экстрим,5,Макс Экстрим,4.8,921,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/54657955/detail.aspx?targetUrl=BP
